trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.75, 'e': 0.9119999999999999}",25,0,-162.09483176040135,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.9099999999999999}",25,0,-71.45361336312911,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
46,False,"{'a': 0.75, 'e': 0.9079999999999999}",20,0,-154.93346559915972,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
47,False,"{'a': 0.75, 'e': 0.9059999999999999}",20,0,-156.02498965167356,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 0.75, 'e': 0.9039999999999999}",25,0,-188.17499118570285,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
49,False,"{'a': 0.75, 'e': 0.9019999999999999}",30,0,-112.1738197938536,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.75, 'e': 0.8999999999999999}",20,0,-81.26334883434949,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.75, 'e': 0.8979999999999999}",30,0,-81.40004520863226,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.8959999999999999}",30,0,-69.18920335317408,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
53,False,"{'a': 0.75, 'e': 0.8939999999999999}",25,0,-33.098134977270306,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.75, 'e': 0.8919999999999999}",30,0,-64.23522790089332,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.8899999999999999}",25,0,-153.90955311109786,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
56,False,"{'a': 0.75, 'e': 0.8879999999999999}",25,0,-210.02986620202265,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
57,False,"{'a': 0.75, 'e': 0.8859999999999999}",20,0,-111.77359642854067,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.75, 'e': 0.8839999999999999}",25,0,-62.14692104578699,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.75, 'e': 0.8819999999999999}",25,8,-38.633471733813955,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.8799999999999999}",30,12,-69.86418538064638,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.75, 'e': 0.8779999999999999}",25,0,-111.44329193509581,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 0.75, 'e': 0.8759999999999999}",30,0,-148.05972159783315,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.8739999999999999}",20,0,-67.38634295355837,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.75, 'e': 0.8719999999999999}",25,6,-24.586151168990526,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.75, 'e': 0.8699999999999999}",30,0,-92.9382653927037,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.75, 'e': 0.8679999999999999}",20,0,-102.49846923265012,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.75, 'e': 0.8659999999999999}",25,3,-126.80874771195663,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
68,False,"{'a': 0.75, 'e': 0.8639999999999999}",20,9,-43.320502378784234,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.75, 'e': 0.8619999999999999}",25,0,-152.28187712028986,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
70,False,"{'a': 0.75, 'e': 0.8599999999999999}",20,0,-66.5147489503496,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.75, 'e': 0.8579999999999999}",25,0,-132.17303658893277,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
72,False,"{'a': 0.75, 'e': 0.8559999999999999}",20,0,-135.28737430413207,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.75, 'e': 0.8539999999999999}",20,0,-56.80543445522531,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
74,False,"{'a': 0.75, 'e': 0.8519999999999999}",20,10,-44.37580460977286,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.75, 'e': 0.8499999999999999}",20,0,-42.439864649823186,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.75, 'e': 0.8479999999999999}",20,0,-32.9507757550701,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.75, 'e': 0.8459999999999999}",25,0,-133.86755319525787,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.75, 'e': 0.8439999999999999}",25,0,-77.29057091181927,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.75, 'e': 0.8419999999999999}",30,0,-62.308782187133716,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.75, 'e': 0.8399999999999999}",25,0,-45.22169223135369,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
81,False,"{'a': 0.75, 'e': 0.8379999999999999}",20,0,-93.72751417138424,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.75, 'e': 0.8359999999999999}",35,0,-221.16700052736059,"{0: 16, 1: 6, 2: 9, 3: 2, 4: 2}",0
83,False,"{'a': 0.75, 'e': 0.8339999999999999}",20,5,-25.058243617388882,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.8319999999999999}",20,0,-106.63044817984061,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.75, 'e': 0.8299999999999998}",20,0,-20.20521452788596,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
86,False,"{'a': 0.75, 'e': 0.8279999999999998}",25,0,-111.60536644175703,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.75, 'e': 0.8259999999999998}",30,5,-113.82557911489667,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",1
88,False,"{'a': 0.75, 'e': 0.8239999999999998}",20,5,-45.70891545389343,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.75, 'e': 0.8219999999999998}",20,0,-85.5739550389591,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.75, 'e': 0.8199999999999998}",20,0,-183.87673516628303,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
91,False,"{'a': 0.75, 'e': 0.8179999999999998}",20,0,-84.04009577716474,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.75, 'e': 0.8159999999999998}",30,11,-69.38074162936596,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
93,False,"{'a': 0.75, 'e': 0.8139999999999998}",20,15,0.5974137547216434,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
